exercise_name,image_filename
Abdominal Air Bike,abdominal-air-bike.jpg
"Arnold Press, Seated",arnold-press-seated.jpg
"Arnold Press, Standing, One Arm",arnold-press-standing-one-arm.jpg
BB Bent Over Row,bb-bent-over-row.jpg
BB Front Raise,bb-front-raise.jpg
BB Lunge,bb-lunge.jpg
BB Shrug,bb-shrug.jpg
BB Upright Row,bb-upright-row.jpg
Bench Press,bench-press.jpg
"Bench Press, Close Grip",bench-press-close-grip.jpg
"Bench Press, Incline",bench-press-incline.jpg
"Bicep Curl, Ez Bar",bicep-curl-ez-bar.jpg
"Bicep Curl, Preacher, EZ Bar",bicep-curl-preacher-ez-bar.jpg
"Bicep Curl, Zottman",bicep-curl-zottman.jpg
Bike,bike.jpg
Box Jump,box-jump.jpg
Burpee,burpee.jpg
"Burpee, Kettlebell",burpee-kettlebell.jpg
"Calf Raise, Seated",calf-raise-seated.jpg
Chest Press,chest-press.jpg
"Chest Press, Incline Bench, Plateloaded",chest-press-incline-bench-plateloaded.jpg
"Chest Press, Stack Loaded",chest-press-stack-loaded.jpg
Chin Up,chin-up.jpg
Concentration Curl,concentration-curl.jpg
Crunch,crunch.jpg
"Crunch, Bosu Ball",crunch-bosu-ball.jpg
"Crunch, Jack Knife, Bent Knees",crunch-jack-knife-bent-knees.jpg
DB Bench Press,db-bench-press.jpg
"DB Bench Press, Incline",db-bench-press-incline.jpg
"DB Bench Press, Neutral Grip",db-bench-press-neutral-grip.jpg
"DB Bench Press, Squeeze",db-bench-press-squeeze.jpg
"DB Bicep Curl, Incline Bench",db-bicep-curl-incline-bench.jpg
"DB Bicep Curl, Reverse Grip, One Arm, Standing",db-bicep-curl-reverse-grip-one-arm-standing.jpg
"DB Bicep Curl, Standing",db-bicep-curl-standing.jpg
"DB Bicep Curl, Zottman",db-bicep-curl-zottman.jpg
DB Concentration Curl,db-concentration-curl.jpg
DB Fly,db-fly.jpg
"DB Fly, One Arm",db-fly-one-arm.jpg
DB Goblet Squat,db-goblet-squat.jpg
"DB Hammer Curl, Seated",db-hammer-curl-seated.jpg
DB Lateral Raise,db-lateral-raise.jpg
"DB Lateral Raise, Seated",db-lateral-raise-seated.jpg
DB Pullover,db-pullover.jpg
"DB Rear Delt Fly, Bent Over, Standing",db-rear-delt-fly-bent-over-standing.jpg
DB Romanian Deadlift,db-romanian-deadlift.jpg
"DB Row, Tripod",db-row-tripod.jpg
DB Russian Twist,db-russian-twist.jpg
"DB Shoulder Press, Seated",db-shoulder-press-seated.jpg
"DB Shoulder Press, Standing",db-shoulder-press-standing.jpg
DB Shrug,db-shrug.jpg
DB Side Bends,db-side-bends.jpg
"DB Tricep Extension, Lying, One Arm",db-tricep-extension-lying-one-arm.jpg
"DB Tricep Extension, One Arm, Standing",db-tricep-extension-one-arm-standing.jpg
"DB Tricep Extension, Standing",db-tricep-extension-standing.jpg
DB Walking Lunge,db-walking-lunge.jpg
Dead Bug,dead-bug.jpg
Deadlift,deadlift.jpg
"Dip, Tricep",dip-tricep.jpg
EZ Bar Bicep Curl,ez-bar-bicep-curl.jpg
Elliptical,elliptical.jpg
Face Pull,face-pull.jpg
Flutter Kicks,flutter-kicks.jpg
"Fly, High to Low, Standing",fly-high-to-low-standing.jpg
"Fly, Pec Deck",fly-pec-deck.jpg
"Fly, Standing",fly-standing.jpg
Front Raise,front-raise.jpg
"Front Raise, Plate",front-raise-plate.jpg
Glute Bridge,glute-bridge.jpg
"Glute Bridge, Banded",glute-bridge-banded.jpg
"Hammer Curl, Alternate, Standing",hammer-curl-alternate-standing.jpg
"Hammer Curl, Standing",hammer-curl-standing.jpg
"Heel Touches, Lying, Alternating",heel-touches-lying-alternating.jpg
High Row,high-row.jpg
Hip Abduction,hip-abduction.jpg
Hip Adduction,hip-adduction.jpg
Hip Thrust,hip-thrust.jpg
Kettlebell Swing,kettlebell-swing.jpg
"Knee Raise, Hanging",knee-raise-hanging.jpg
Lateral Raise,lateral-raise.jpg
"Lateral Raise, Leaning",lateral-raise-leaning.jpg
"Leg Curl, Lying",leg-curl-lying.jpg
"Leg Curl, Seated",leg-curl-seated.jpg
Leg Extension,leg-extension.jpg
"Leg Extension, Single Leg",leg-extension-single-leg.jpg
Leg Press,leg-press.jpg
"Leg Press, Single Leg",leg-press-single-leg.jpg
Leg Raise,leg-raise.jpg
"Leg Raise, Chair",leg-raise-chair.jpg
"Leg Raise, Floor",leg-raise-floor.jpg
"Leg Raise, Hanging",leg-raise-hanging.jpg
Lunge,lunge.jpg
Military Press,military-press.jpg
Mountain Climber,mountain-climber.jpg
"Mountain Climber, Rotating",mountain-climber-rotating.jpg
Pendlay Row,pendlay-row.jpg
Plank,plank.jpg
"Plank, Shoulder Taps",plank-shoulder-taps.jpg
Plie Squat,plie-squat.jpg
"Pull Down, One Arm",pull-down-one-arm.jpg
"Pull Down, Wide Grip",pull-down-wide-grip.jpg
Pull Up,pull-up.jpg
"Pull Up, Narrow Neutral Grip",pull-up-narrow-neutral-grip.jpg
Push Up,push-up.jpg
"Push Up, Close Grip",push-up-close-grip.jpg
"Push Up, Military Press",push-up-military-press.jpg
"Push Up, Pause",push-up-pause.jpg
"Push Up, T",push-up-t.jpg
Rack Pull,rack-pull.jpg
Reverse Lunge,reverse-lunge.jpg
Romanian Deadlift,romanian-deadlift.jpg
Row,row.jpg
"Row, One Arm, Seated",row-one-arm-seated.jpg
"Row, One Arm, Standing",row-one-arm-standing.jpg
"Row, Seated",row-seated.jpg
"Row, T-Bar",row-t-bar.jpg
Russian Twist,russian-twist.jpg
"Shoulder Press, Cuban, Seated",shoulder-press-cuban-seated.jpg
Shoulder To Shoulder Press,shoulder-to-shoulder-press.jpg
Side Plank,side-plank.jpg
Sit Up,sit-up.jpg
"Sit Up, Decline Bench",sit-up-decline-bench.jpg
"Sit Up, Frog",sit-up-frog.jpg
"Sit Up, Twist, Decline",sit-up-twist-decline.jpg
Smith Machine Shrug,smith-machine-shrug.jpg
Split Jump Squat,split-jump-squat.jpg
Squat,squat.jpg
"Squat, Bodyweight",squat-bodyweight.jpg
"Squat, Prisoner",squat-prisoner.jpg
Stairmaster,stairmaster.jpg
Straight Arm Pull Down,straight-arm-pull-down.jpg
"Stretch, Chest, Wall",stretch-chest-wall.jpg
"Stretch, Front Delt",stretch-front-delt.jpg
"Stretch, Glute",stretch-glute.jpg
"Stretch, Hip Flexor",stretch-hip-flexor.jpg
"Stretch, Inner Thigh",stretch-inner-thigh.jpg
"Stretch, Shoulder, Back",stretch-shoulder-back.jpg
"Stretch, Squat",stretch-squat.jpg
T-Bar Row,t-bar-row.jpg
Thruster,thruster.jpg
"Toe Touch, Straight Leg, Weighted",toe-touch-straight-leg-weighted.jpg
Treadmill,treadmill.jpg
"Treadmill, Power Walk",treadmill-power-walk.jpg
Tricep Extension,tricep-extension.jpg
"Tricep Extension, Ez Bar, Overhead, Standing",tricep-extension-ez-bar-overhead-standing.jpg
"Tricep Extension, Reverse Grip",tricep-extension-reverse-grip.jpg
"Tricep Extension, Rope",tricep-extension-rope.jpg
"Tricep Extension, Straight Bar",tricep-extension-straight-bar.jpg
Upright Row,upright-row.jpg
